"","PlaceID","id","Governroate","District.x","Sub.District","Area","Place.x","sites.Religious.Buildings","sites.Unfinished.Buildings","sites.Open.Air","families.Religious.Buildings","families.Unfinished.Buildings","families.Open.Air","dtmfam.Religious.Buildings","dtmfam.Unfinished.Buildings","diff.Religious.Buildings","diff.Unfinished.Buildings","totalsites","totalfamilies","familysite","class.totalsites","class.familysite","Governorate","District.y","Place.y","Longitude","Latitude","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","class.family.fixed","class.quartile"
"42",12371,73,"Erbil","Koisnjaq",NA,"District center","Bayizagha",NA,4,NA,NA,30,NA,0,0,0,30,4,30,7.5,1,1,"Erbil","Koisnjaq","Bayizagha",44.6416,36.0838,"KRI",1488,248,0,0,0,360,0,0,0,0,1128,360,360,0,1128,0,360,0,0,"100-249","(870,5.42e+04]"
"43",12821,69,"Erbil","Erbil",NA,"Khabat","Safiya village",NA,3,NA,NA,100,NA,NA,NA,0,100,3,100,33.3333333333333,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",13617,78,"Erbil","Shaqlawa",NA,"Shaqlawa","Balisan",1,NA,NA,30,NA,NA,NA,NA,30,0,1,30,30,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",16953,86,"Ninewa","Akre","Dinarta","Dinarta","Dinarta",2,20,NA,54,75,NA,NA,NA,54,75,22,129,5.86363636363636,1,1,"Ninewa","Akre","Dinarta",43.5913,36.5643,"Disputed Territories",1728,288,0,150,324,450,0,0,0,0,804,924,924,606,198,324,450,150,0,"250-499","(870,5.42e+04]"
"46",17039,87,"Ninewa","Akre","Kalak","Gawilan","Gawilan",NA,3,NA,NA,26,NA,NA,NA,0,26,3,26,8.66666666666667,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",17145,82,"Ninewa","Akre","Bardarash","Bardarash","Bardarash City Centre",3,60,NA,20,450,NA,NA,NA,20,450,63,470,7.46031746031746,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",17333,99,"Ninewa","Al-Shikhan","(blank)","Shikhan","Shikhan City Centre",14,NA,NA,389,NA,NA,200,550,189,-550,14,389,27.7857142857143,1,2,"Ninewa","Al-Shikhan","Shekhan",43.45,36.77,"Disputed Territories",14418,2403,0,0,660,4116,0,0,0,0,9642,4776,4776,8160,1482,660,4116,0,0,">2000","(870,5.42e+04]"
"49",17338,93,"Ninewa","Al-Shikhan","Atrush","Atrush","Atrush",3,66,NA,15,287,NA,50,100,-35,187,69,302,4.3768115942029,2,1,"Ninewa","Al-Shikhan","Atrush",43.32,36.83,"Disputed Territories",2904,484,0,360,90,1662,0,0,0,0,792,2112,2112,552,240,90,1662,360,0,"250-499","(870,5.42e+04]"
"50",17734,81,"Ninewa","Akre","Akre","Akre","Akre City Centre",3,111,NA,78,600,NA,0,750,78,-150,114,678,5.94736842105263,3,1,"Ninewa","Akre","Akre",43.89,36.75,"Disputed Territories",17916,2986,0,1200,0,6300,0,0,0,594,9822,7500,7500,4602,5220,0,6300,1200,0,">2000","(870,5.42e+04]"
"51",17752,94,"Ninewa","Al-Shikhan","Baadre","Baadre","Baadre",3,11,NA,67,400,NA,200,400,-133,0,14,467,33.3571428571429,1,2,"Ninewa","Al-Shikhan","Baadre",43.24,36.72,"Disputed Territories",20100,3350,0,330,186,1080,0,0,0,0,18504,1596,1596,16656,1848,186,1080,330,0,">2000","(870,5.42e+04]"
