"","Governorate","District","Place","Longitude","Latitude","PlaceID","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"202","Sulaymaniyah","Sulaymaniya","Ablakh",45.41186,35.55077,"23716","KRI",330,55,0,0,0,0,0,0,0,0,330,0,0,0,330,0,0,0,0
"203","Sulaymaniyah","Sulaymaniya","Dilan City",45.47803,35.54721,"23717","KRI",426,71,0,0,0,0,0,0,0,0,426,0,0,0,426,0,0,0,0
"204","Sulaymaniyah","Sulaymaniya","Haware Shar",45.40235,35.60073,"23718","KRI",612,102,0,0,0,0,0,0,0,0,612,0,0,0,612,0,0,0,0
"205","Sulaymaniyah","Sulaymaniya","Kurdsat",45.43196,35.59071,"23719","KRI",390,65,0,0,0,0,0,0,0,0,390,0,0,0,390,0,0,0,0
"206","Sulaymaniyah","Sulaymaniya","Majeed Bag",45.44795,35.57526,"23720","KRI",372,62,0,0,0,0,0,0,0,0,372,0,0,0,372,0,0,0,0
"207","Sulaymaniyah","Dokan","Chawa spy",44.97255,35.92535,"23721","KRI",294,49,0,0,0,0,0,0,0,0,294,0,0,0,294,0,0,0,0
"208","Sulaymaniyah","Sharbazher","Bakhtyari",45.66102,35.32344,"23723","KRI",726,121,0,0,0,0,0,0,0,60,666,0,0,0,666,0,0,0,0
"209","Erbil","Shaqlawa","Safin",44.30822,36.40818,"23741","KRI",5850,975,0,0,0,0,0,0,0,0,5850,0,0,0,5850,0,0,0,0
"210","Erbil","Shaqlawa","Shahidan",44.31955,36.40783,"23742","KRI",1200,200,0,0,0,0,0,0,0,0,1200,0,0,0,1200,0,0,0,0
"211","Dahuk","Dahuk","Dabin",43.124353,36.806986,"23763","KRI",1074,179,0,0,0,0,0,0,0,0,1074,0,0,0,1074,0,0,0,0
"212","Erbil","Erbil","Mustawfi",44.00774,36.19505,"23766","KRI",420,70,0,0,0,0,0,0,0,0,420,0,0,0,420,0,0,0,0
"213","Sulaymaniyah","Kalar","Gazino",45.33846,34.62885,"23767","KRI",444,74,0,0,0,0,0,0,0,0,444,0,0,0,444,0,0,0,0
"214","Sulaymaniyah","Kalar","Bingrd",45.31562,34.61408,"23768","KRI",486,81,0,0,0,0,0,0,0,0,486,0,0,0,486,0,0,0,0
"215","Sulaymaniyah","Kalar","Sherwana",45.32181,34.61228,"23769","KRI",528,88,0,0,0,0,0,0,0,0,528,0,0,0,528,0,0,0,0
"216","Sulaymaniyah","Sulaymaniya","Allay",45.17624,35.58074,"23771","KRI",648,108,0,0,0,0,0,0,0,0,648,0,0,0,648,0,0,0,0
"217","Erbil","Shaqlawa","Sarmidan/2",44.31467,36.41059,"23783","KRI",4890,815,0,0,0,0,0,0,0,0,4890,0,0,54,4836,0,0,0,0
"218","Erbil","Shaqlawa","Sarmidan/3",44.30743,36.41302,"23784","KRI",5280,880,0,0,0,0,0,0,0,0,5280,0,0,0,5280,0,0,0,0
"219","Sulaymaniyah","Sulaymaniya","Hawari Taza",45.44744,35.57776,"23870","KRI",306,51,0,0,0,0,0,0,0,0,306,0,0,0,306,0,0,0,0
"220","Dahuk","Dahuk","Sarheldan",43.044187,36.838541,"23902","KRI",1200,200,0,600,300,0,0,0,0,0,300,900,900,150,150,300,0,600,0
"221","Dahuk","Amedi","Kaniya Mala",43.2843,37.0525,"23903","KRI",1548,258,0,270,270,222,0,0,0,0,786,762,750,750,36,270,222,270,0
"222","Dahuk","Dahuk","Avro City",42.988888,36.834101,"23904","KRI",1206,201,0,0,0,0,0,0,0,0,1206,0,0,0,1206,0,0,0,0
"223","Dahuk","Dahuk","Naor",43.039551,36.859038,"23905","KRI",750,125,0,450,0,150,0,0,0,0,150,600,600,0,150,0,150,450,0
"224","Dahuk","Dahuk","KRO",42.951205,36.893462,"23906","KRI",2682,447,0,1500,300,0,0,0,0,0,882,1800,1800,240,642,300,0,1500,0
"225","Erbil","Shaqlawa","Bazar Khanzad",44.33652,36.39941,"23907","KRI",1800,300,0,0,0,0,0,0,0,0,1800,0,0,0,1800,0,0,0,0
"226","Erbil","Erbil","Khanaqa",44.01309,36.19076,"23908","KRI",360,60,0,0,0,0,0,0,0,0,360,0,0,0,360,0,0,0,0
"227","Erbil","Erbil","Chinarok",44.02378,36.18992,"23909","KRI",240,40,0,0,0,0,0,0,0,0,240,0,0,0,240,0,0,0,0
"228","Erbil","Shaqlawa","Aquban",44.40804,36.34545,"23910","KRI",300,50,0,0,0,0,0,0,0,0,300,0,0,150,150,0,0,0,0
"229","Erbil","Erbil","Sedawa",44.01873,36.18096,"23911","KRI",1170,195,0,0,0,0,0,0,0,0,1170,0,0,0,1170,0,0,0,0
"230","Sulaymaniyah","Dokan","Sarcham",44.96655,35.92317,"23923","KRI",1206,201,0,72,0,0,0,0,0,0,1134,72,72,0,1134,0,0,72,0
"231","Sulaymaniyah","Dokan","Banwan",44.96818,35.93503,"23924","KRI",318,53,0,0,0,0,0,0,0,0,318,0,0,0,318,0,0,0,0
"232","Sulaymaniyah","Sulaymaniya","Kani spika",45.41164,35.59699,"23925","KRI",372,62,0,0,0,0,0,0,0,0,372,0,0,0,372,0,0,0,0
"233","Sulaymaniyah","Sulaymaniya","Dargazen",45.44319,35.54991,"23926","KRI",1152,192,0,0,66,0,0,0,0,0,1086,66,66,0,1086,66,0,0,0
"234","Sulaymaniyah","Sulaymaniya","Brayati",45.14025,35.59341,"23927","KRI",324,54,0,0,0,0,0,0,0,0,324,0,0,0,324,0,0,0,0
"235","Sulaymaniyah","Kalar","Shahidan",45.39673,34.67382,"23928","KRI",936,156,0,0,0,0,0,0,0,0,936,0,0,0,936,0,0,0,0
"236","Erbil","Erbil","Lawan city",44.13645,36.18115,"23931","KRI",1470,245,0,0,0,0,0,0,0,0,1470,0,0,0,1470,0,0,0,0
"237","Dahuk","Dahuk","Masik - 1",42.965038,36.872298,"24092","KRI",3690,615,0,2868,210,0,0,0,0,0,612,3078,3078,96,516,210,0,2868,0
"238","Dahuk","Dahuk","Masik - 2",42.966672,36.871684,"24093","KRI",3630,605,0,2400,420,0,0,0,0,0,810,2820,2820,60,750,420,0,2400,0
"239","Sulaymaniyah","Sulaymaniya","Rizgari - Arbat",45.58161,35.42586,"24095","KRI",342,57,0,0,0,0,0,0,0,0,342,0,0,0,342,0,0,0,0
"240","Sulaymaniyah","Halabja","Barkew",45.87131,35.35254,"24096","KRI",174,29,0,0,0,0,0,0,0,0,174,0,0,0,174,0,0,0,0
"241","Sulaymaniyah","Sulaymaniya","Goyzha City",45.47349,35.56077,"24097","KRI",378,63,0,0,0,0,0,0,0,0,378,0,0,0,378,0,0,0,0
